 phys4:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   1.10, dl =   0.00, dh =   1.10,  ACCEPT!
 split:  dp =   1.24, dl =   0.01, dh =   1.24,  ACCEPT!
 split:  dp =   2.59, dl =   0.00, dh =   2.59,  reject!
 phys4:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 phys4:  dp =   0.01, dl =   0.01, dh =  -0.00,  ACCEPT!
 phys1:  dp =  -0.49, dl =  -0.49, dh =  -0.00,  ACCEPT!
 split:  dp =   1.17, dl =  -0.00, dh =   1.17,  reject!
  int2:  dp =   0.00, dl =  -0.00, dh =   0.00,  ACCEPT!
  int2:  dp =   0.01, dl =   0.00, dh =   0.01,  ACCEPT!
 merge:  dp =   1.42, dl =   0.00, dh =   1.42,  reject!
 merge:  dp =   2.18, dl =   0.00, dh =   2.18,  reject!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =  -1.51, dl =  -0.01, dh =  -1.50,  ACCEPT!
 merge:  dp =  -1.26, dl =   0.00, dh =  -1.26,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys4:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
  int1:  dp =  -0.03, dl =   0.00, dh =  -0.03,  ACCEPT!
  int1:  dp =   0.10, dl =  -0.00, dh =   0.10,  ACCEPT!
 split:  dp =  -0.67, dl =   0.50, dh =  -1.17,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 split:  dp =  -0.49, dl =   0.00, dh =  -0.49,  ACCEPT!
 merge:  dp =   0.49, dl =   0.00, dh =   0.49,  reject!
 phys1:  dp =   1.81, dl =   1.81, dh =  -0.00,  reject!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
  int1:  dp =   0.04, dl =  -0.00, dh =   0.04,  ACCEPT!
  int2:  dp =  -0.05, dl =   0.00, dh =  -0.05,  ACCEPT!
 merge:  dp =   0.95, dl =   0.00, dh =   0.95,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
  int1:  dp =   0.00, dl =   0.00, dh =   0.00,  ACCEPT!
  int2:  dp =   0.06, dl =   0.00, dh =   0.06,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 split:  dp =  -1.12, dl =  -0.17, dh =  -0.95,  ACCEPT!
 phys1:  dp =  -0.03, dl =  -0.03, dh =  -0.00,  ACCEPT!
 split:  dp =   0.58, dl =  -0.54, dh =   1.13,  ACCEPT!
  int1:  dp =   0.01, dl =   0.00, dh =   0.01,  ACCEPT!
  int1:  dp =   0.12, dl =   0.00, dh =   0.12,  ACCEPT!
  int1:  dp =   0.02, dl =  -0.00, dh =   0.02,  ACCEPT!
 merge:  dp =  -0.32, dl =   0.00, dh =  -0.32,  ACCEPT!
 phys4:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
  int1:  dp =  -0.09, dl =  -0.01, dh =  -0.08,  ACCEPT!
  int1:  dp =  -0.19, dl =   0.00, dh =  -0.19,  ACCEPT!
 phys1:  dp =   0.29, dl =   0.29, dh =  -0.00,  ACCEPT!
  int2:  dp =  -0.01, dl =   0.00, dh =  -0.01,  ACCEPT!
 merge:  dp =   0.36, dl =   0.00, dh =   0.36,  reject!
  int1:  dp =   0.03, dl =  -0.00, dh =   0.03,  ACCEPT!
 merge:  dp =  -0.24, dl =  -0.00, dh =  -0.24,  ACCEPT!
 merge:  dp =  -1.08, dl =  -0.29, dh =  -0.78,  ACCEPT!
 phys1:  dp =   0.01, dl =   0.01, dh =  -0.00,  ACCEPT!
 split:  dp =   0.78, dl =  -0.00, dh =   0.78,  reject!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.18, dl =   0.00, dh =   0.18,  ACCEPT!
  int1:  dp =   0.08, dl =  -0.01, dh =   0.08,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 split:  dp =   0.57, dl =   0.00, dh =   0.57,  reject!
 split:  dp =  -0.18, dl =  -0.00, dh =  -0.18,  ACCEPT!
 phys4:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.92, dl =  -0.00, dh =   0.92,  reject!
  int2:  dp =  -0.02, dl =   0.00, dh =  -0.02,  ACCEPT!
 merge:  dp =  37.61, dl =  37.04, dh =   0.57,  reject!
 split:  dp =   0.43, dl =  -0.00, dh =   0.43,  reject!
  int1:  dp =  -0.08, dl =  -0.04, dh =  -0.04,  ACCEPT!
 merge:  dp =   1.38, dl =   0.00, dh =   1.37,  reject!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys4:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 split:  dp =   0.64, dl =   0.00, dh =   0.64,  ACCEPT!
 phys4:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys4:  dp =   0.02, dl =   0.02, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.33, dl =  -0.21, dh =   0.53,  reject!
 phys4:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
  int2:  dp =   0.02, dl =  -0.00, dh =   0.02,  ACCEPT!
  int2:  dp =   0.04, dl =  -0.00, dh =   0.04,  ACCEPT!
 split:  dp =   0.70, dl =   0.00, dh =   0.70,  ACCEPT!
 merge:  dp =   0.50, dl =  -0.00, dh =   0.50,  reject!
  int2:  dp =  -0.10, dl =   0.00, dh =  -0.10,  ACCEPT!
  int2:  dp =  -0.03, dl =   0.02, dh =  -0.06,  ACCEPT!
 merge:  dp =   1.02, dl =   0.00, dh =   1.02,  reject!
 split:  dp =  -0.74, dl =   0.00, dh =  -0.74,  ACCEPT!
  int2:  dp =   0.00, dl =   0.03, dh =  -0.03,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =   0.34, dl =  -0.15, dh =   0.49,  ACCEPT!
  int2:  dp =  -0.02, dl =   0.00, dh =  -0.02,  ACCEPT!
  int1:  dp =   0.01, dl =  -0.00, dh =   0.01,  ACCEPT!
  int1:  dp =   0.10, dl =   0.00, dh =   0.10,  reject!
  int1:  dp =  -0.04, dl =  -0.00, dh =  -0.04,  ACCEPT!
  int1:  dp =  -0.02, dl =  -0.00, dh =  -0.02,  ACCEPT!
 merge:  dp =   1.74, dl =   0.00, dh =   1.74,  reject!
  int1:  dp =   0.04, dl =  -0.00, dh =   0.04,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 split:  dp =   0.26, dl =   0.00, dh =   0.26,  ACCEPT!
 merge:  dp =  41.19, dl =  41.35, dh =  -0.16,  reject!
 split:  dp =  -0.11, dl =   0.00, dh =  -0.11,  ACCEPT!
 phys1:  dp =  -0.00, dl =  -0.00, dh =  -0.00,  ACCEPT!
  int2:  dp =  -0.01, dl =   0.00, dh =  -0.01,  ACCEPT!
  int1:  dp =   0.05, dl =   0.00, dh =   0.05,  ACCEPT!
 split:  dp =   0.15, dl =   0.00, dh =   0.15,  ACCEPT!
  int1:  dp =  -0.02, dl =   0.00, dh =  -0.02,  ACCEPT!
 split:  dp =   6.52, dl =   6.02, dh =   0.50,  reject!
  int2:  dp =  -0.11, dl =   0.00, dh =  -0.11,  ACCEPT!
  int1:  dp =   0.05, dl =   0.00, dh =   0.05,  ACCEPT!
 merge:  dp =  -0.15, dl =   0.00, dh =  -0.15,  ACCEPT!
 merge:  dp =  -0.12, dl =  -0.00, dh =  -0.12,  ACCEPT!
 merge:  dp =  -0.67, dl =   0.01, dh =  -0.68,  ACCEPT!
  int2:  dp =   0.02, dl =   0.00, dh =   0.02,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
  int2:  dp =  -0.02, dl =   0.00, dh =  -0.02,  ACCEPT!
 merge:  dp =   1.74, dl =  -0.00, dh =   1.74,  reject!
 merge:  dp =   1.52, dl =   0.00, dh =   1.52,  reject!
  int2:  dp =   0.01, dl =  -0.00, dh =   0.01,  ACCEPT!
 split:  dp =   2.63, dl =  -0.00, dh =   2.64,  reject!
 merge:  dp =  -0.19, dl =   0.00, dh =  -0.19,  ACCEPT!
 phys4:  dp =   6.66, dl =   6.66, dh =  -0.00,  reject!
  int1:  dp =   0.04, dl =  -0.00, dh =   0.04,  ACCEPT!
 split:  dp =   0.02, dl =   0.22, dh =  -0.20,  ACCEPT!
 phys1:  dp =   0.00, dl =   0.00, dh =  -0.00,  ACCEPT!
 merge:  dp =  -0.59, dl =   0.00, dh =  -0.60,  ACCEPT!
