layers, nll
9, 1230.756534
10, 1236.204889
10, 1341.904150
9, 1345.042575
9, 1344.027972
9, 1344.027972
8, 1349.174923
8, 1349.174923
8, 1329.453752
8, 1329.453752
7, 1458.907060
7, 1458.699291
7, 1165.824450
7, 1165.833601
7, 1165.833601
7, 1165.835367
7, 1166.828278
7, 1170.032116
7, 1170.032116
8, 947.056489
8, 947.056489
8, 947.059832
8, 947.059832
8, 947.053840
8, 947.053840
8, 947.498458
8, 947.435538
9, 951.645283
9, 585.203138
9, 581.450078
9, 581.450078
9, 581.920893
9, 512.634360
9, 512.634360
9, 512.634360
9, 512.638741
8, 553.840609
7, 559.146873
7, 982.873594
7, 1171.805563
7, 1171.805563
7, 1171.805563
7, 1171.805563
7, 1171.805563
7, 1171.805563
7, 1169.973143
7, 1169.973143
7, 1169.973143
6, 2732.527111
6, 2731.385541
6, 2666.911362
6, 2711.615529
5, 2747.528095
4, 427.396792
4, 428.111590
4, 428.111590
4, 428.111590
4, 428.111590
4, 428.111590
4, 428.111590
4, 428.111590
4, 428.111590
4, 428.111590
4, 428.111590
4, 428.111590
4, 427.571824
4, 428.303009
5, 414.956631
5, 658.956058
5, 658.956058
5, 658.956058
5, 431.286598
5, 405.060945
5, 405.060945
5, 404.856949
5, 404.856984
5, 404.856984
5, 401.374140
5, 401.374140
5, 401.374109
5, 401.374109
5, 401.506127
5, 396.424734
5, 396.424734
6, 396.264264
6, 396.264264
6, 396.264264
6, 597.181326
6, 650.899989
6, 648.256260
6, 648.256260
6, 661.521043
6, 681.046826
6, 448.729292
6, 448.729292
6, 448.729292
6, 446.583934
6, 446.583934
6, 446.583934
6, 446.549110
6, 443.709047
6, 443.709047
6, 437.112521
6, 395.718604
6, 708.965575
6, 1148.311465
6, 1148.311465
6, 1025.814467
6, 1025.814467
6, 1025.814467
6, 1066.540131
6, 1066.540131
6, 1066.540131
6, 1066.540131
6, 814.404626
6, 814.404626
6, 1465.821742
6, 1465.821742
6, 1465.821742
6, 1465.821742
6, 1461.199018
6, 1401.699203
6, 1401.727786
6, 1401.727786
6, 1402.199123
6, 1402.157188
6, 1402.157188
6, 1402.157188
6, 1402.157188
5, 1625.887542
5, 1307.462983
5, 2133.094945
5, 2133.053568
5, 2131.326236
5, 2131.271834
5, 2131.271834
5, 2131.271834
5, 2131.272059
5, 2131.271274
5, 2131.271274
5, 2131.271274
5, 2131.271274
5, 2173.130578
5, 2173.084273
5, 2173.084273
5, 2173.084273
5, 2173.084273
5, 2146.301248
5, 2146.272732
6, 1289.424631
6, 1289.456859
6, 654.309233
6, 705.610644
6, 720.088416
6, 659.498053
6, 659.498053
6, 659.457514
6, 659.457514
6, 321.968718
6, 446.233329
6, 446.205757
6, 446.205758
6, 446.205758
6, 446.205758
7, 446.205758
7, 445.992009
7, 422.621386
7, 422.621386
7, 422.621386
7, 422.621386
7, 482.055116
7, 459.541151
7, 459.541151
7, 459.541151
7, 459.541151
7, 449.643434
7, 449.643434
7, 449.643434
7, 449.643434
7, 449.643434
7, 449.643434
7, 449.651643
7, 449.651643
7, 449.651643
7, 449.599337
7, 449.599337
8, 455.746915
8, 455.746915
8, 446.653702
8, 446.653702
8, 446.653702
8, 446.653702
8, 446.653702
8, 587.726374
8, 1519.617251
9, 1513.374646
9, 1515.333700
9, 663.900578
9, 663.900578
9, 664.392695
9, 789.093145
8, 464.051502
9, 462.906322
9, 462.378293
9, 462.092868
9, 462.092868
9, 462.092868
10, 462.893454
11, 463.396574
10, 462.893454
10, 462.936758
10, 462.936758
10, 462.936758
9, 462.123436
9, 462.123436
9, 462.111310
9, 462.111310
9, 462.111310
10, 462.111310
10, 462.111310
10, 462.111310
10, 498.763264
10, 498.763264
11, 487.235758
11, 487.235758
11, 493.000594
11, 493.000594
11, 492.598601
11, 492.598601
10, 1081.774193
10, 1081.774193
10, 1081.774193
10, 1081.757254
10, 1081.757254
9, 1081.603664
9, 1081.603664
9, 1081.603664
9, 1664.214709
9, 1664.222265
9, 1664.222265
