layers, nll
9, 1413.528937
9, 1413.523098
8, 1404.460670
8, 1404.340657
9, 1404.340657
9, 1404.310493
9, 1404.187189
9, 1404.187187
9, 1404.187085
9, 1404.187085
9, 1404.187085
9, 1325.473675
9, 1325.473807
9, 1325.364470
9, 1344.581714
9, 1344.600596
9, 1344.600569
9, 1344.600569
9, 1344.617082
9, 1344.617082
10, 1344.583605
10, 1344.583605
10, 1344.583600
10, 1344.583600
10, 1266.092445
10, 1266.092595
10, 1266.092595
10, 1266.092678
10, 1517.704896
10, 1517.704911
10, 1517.704922
10, 1517.704835
11, 1520.437159
10, 1520.437161
10, 1520.437161
10, 1520.437161
10, 1520.437161
10, 1520.437751
10, 1519.454668
11, 1525.927013
11, 1525.927013
11, 1523.353176
11, 1523.351974
10, 1519.458119
10, 1519.453659
10, 1519.453659
11, 1520.771317
10, 1520.604807
10, 1520.604228
9, 1520.603763
9, 1520.603763
9, 1520.591803
9, 1520.594927
9, 1520.594927
9, 1520.594927
9, 219.609808
8, 217.534327
8, 217.529697
8, 197.059663
8, 197.059663
8, 197.059701
9, 197.059701
9, 193.793868
9, 194.215802
9, 194.215802
9, 194.191706
9, 194.192360
9, 194.241678
8, 199.055259
7, 199.055205
7, 162.795566
7, 162.118773
7, 162.143324
7, 162.174590
7, 547.724713
7, 547.724529
7, 547.726035
7, 547.726035
7, 547.045623
7, 547.835104
7, 547.835104
7, 547.835104
7, 547.835104
7, 548.181877
7, 548.918000
7, 542.713709
7, 543.109121
6, 464.850073
6, 464.850073
7, 472.486406
7, 472.558467
7, 472.581613
7, 472.581613
7, 472.665447
7, 474.848173
7, 474.848173
7, 474.848173
8, 524.628107
8, 503.264346
8, 503.323000
8, 503.322959
8, 503.322959
8, 503.322959
8, 503.322932
8, 503.322977
8, 503.322977
8, 503.282752
8, 503.282752
8, 503.125590
7, 506.573984
7, 506.573984
6, 506.572371
6, 506.572371
6, 519.559622
6, 519.559858
6, 519.538907
6, 519.575959
6, 518.914892
7, 518.914892
7, 518.914892
6, 518.915643
6, 533.089824
5, 494.086573
5, 494.101150
5, 673.165863
